word,Valence,Arousal,Dominance
礎石,0.55,0.388,0.596
コルネット,0.507,0.52,0.415
とうもろこし畑,0.719,0.31,0.349
コーンフレーク,0.729,0.346,0.355
コーニス,0.458,0.441,0.295
コーンスターチ,0.643,0.299,0.337
陳腐な,0.448,0.37,0.221
当然の結果,0.458,0.469,0.366
コロナ,0.818,0.439,0.745
冠状,0.567,0.613,0.509
戴冠式,0.792,0.592,0.836
検死官,0.323,0.558,0.526
伍長,0.582,0.49,0.596
コーポレート,0.592,0.454,0.745
株式会社,0.429,0.332,0.873
肉体的な,0.52,0.35,0.461
軍団,0.551,0.453,0.483
死体,0.094,0.657,0.232
コープスマン,0.439,0.469,0.651
コーパス,0.543,0.34,0.49
囲い,0.606,0.662,0.422
正しい,0.857,0.306,0.723
修正,0.448,0.485,0.558
矯正的な,0.292,0.713,0.602
是正,0.448,0.528,0.613
正しさ,0.796,0.45,0.649
相関,0.596,0.462,0.571
相関的な,0.51,0.402,0.571
一致する,0.71,0.452,0.545
対応,0.663,0.423,0.491
特派員,0.573,0.565,0.712
対応,0.74,0.423,0.618
廊下,0.604,0.589,0.592
確証する,0.671,0.471,0.616
確証,0.625,0.431,0.733
腐食,0.156,0.61,0.348
腐食性の,0.14,0.618,0.57
破損した,0.02,0.806,0.5
破損している,0.062,0.804,0.38
腐敗,0.052,0.83,0.549
コサージュ,0.51,0.294,0.397
コース,0.448,0.451,0.382
コルセット,0.49,0.52,0.381
皮質,0.594,0.439,0.529
皮質,0.38,0.423,0.536
コルチゾン,0.427,0.395,0.456
コルベット,0.551,0.52,0.598
化粧品,0.625,0.304,0.308
化粧品,0.765,0.464,0.472
コズミック,0.663,0.538,0.692
宇宙学,0.651,0.438,0.637
コスモポリタン,0.823,0.51,0.76
宇宙,0.86,0.478,0.664
料金,0.365,0.42,0.439
高価な,0.316,0.65,0.642
コスチューム,0.548,0.51,0.374
居心地の良い,0.847,0.255,0.518
ベビーベッド,0.625,0.23,0.278
コート,0.439,0.344,0.324
コテージ,0.6,0.279,0.361
コットン,0.639,0.071,0.24
ソファー,0.594,0.082,0.198
クーガー,0.438,0.588,0.538
咳,0.255,0.627,0.241
評議会,0.875,0.279,0.635
市会議員,0.531,0.367,0.793
弁護士,0.594,0.519,0.73
カウンセリング,0.667,0.48,0.704
カウンセラー,0.823,0.327,0.74
カウンセラー,0.873,0.365,0.706
カウント,0.594,0.389,0.492
秒読み,0.438,0.692,0.49
表情,0.635,0.44,0.69
カウンター,0.439,0.478,0.75
対抗する,0.378,0.542,0.688
反撃,0.281,0.951,0.764
カウンターバランス,0.52,0.48,0.627
反訴,0.398,0.76,0.651
偽造,0.094,0.694,0.451
片方,0.448,0.608,0.577
対位法,0.438,0.509,0.538
伯爵夫人,0.562,0.44,0.67
無数の,0.52,0.566,0.534
国,0.698,0.394,0.693
田舎者,0.673,0.441,0.789
カントリーミュージック,0.795,0.451,0.438
田舎,0.732,0.288,0.327
数えます,0.343,0.373,0.5
郡,0.479,0.368,0.545
クーデター,0.275,0.815,0.607
クーペ,0.479,0.46,0.482
カップル,0.806,0.605,0.607
結合した,0.612,0.286,0.65
カップリング,0.594,0.479,0.555
クーポン,0.704,0.3,0.421
勇気,0.83,0.728,0.849
勇気のある,0.918,0.587,0.879
宅配便,0.551,0.383,0.441
コース,0.735,0.412,0.534
走る,0.542,0.472,0.546
裁判所,0.479,0.769,0.827
丁寧,0.937,0.396,0.529
礼儀,0.927,0.287,0.431
裁判所,0.571,0.503,0.818
法廷,0.385,0.67,0.887
裁判所,0.367,0.71,0.816
求愛,0.667,0.49,0.654
コートサイド,0.592,0.391,0.434
中庭,0.503,0.365,0.355
いとこ,0.675,0.394,0.427
いとこ,0.76,0.409,0.464
入り江,0.5,0.304,0.37
集会,0.458,0.578,0.591
契約,0.594,0.462,0.667
カバー,0.365,0.24,0.471
カバレッジ,0.767,0.413,0.629
覆われた,0.562,0.34,0.644
カバー,0.615,0.382,0.583
隠れた,0.5,0.57,0.508
切望する,0.302,0.779,0.524
切望された,0.661,0.73,0.625
牛,0.449,0.23,0.3
腰抜け,0.102,0.49,0.149
臆病,0.133,0.621,0.167
臆病な,0.102,0.385,0.127
カウボーイ,0.594,0.625,0.695
騎乗位,0.541,0.566,0.554
牛飼い,0.438,0.48,0.596
牛革,0.458,0.324,0.333
カウル,0.427,0.45,0.232
同僚,0.667,0.49,0.625
内気,0.347,0.33,0.213
コヨーテ,0.459,0.471,0.387
居心地の良い,0.91,0.356,0.545
カニ,0.421,0.396,0.33
ずんぐりした,0.198,0.812,0.37
割れ目,0.302,0.625,0.4
割れた,0.224,0.52,0.228
クラッカー,0.604,0.343,0.346
クラッカージャック,0.567,0.509,0.426
ひび割れ,0.327,0.557,0.286
パチパチ音,0.327,0.643,0.481
クラックポット,0.26,0.602,0.245
ゆりかご,0.776,0.194,0.333
クラフト,0.76,0.321,0.539
工芸品,0.667,0.38,0.391
職人,0.719,0.31,0.583
職人技,0.823,0.373,0.571
狡猾な,0.589,0.679,0.783
クレイグ,0.448,0.449,0.49
詰め込む,0.354,0.73,0.598
ぎゅうぎゅう詰め,0.406,0.74,0.466
けいれん,0.194,0.796,0.34
狭苦しい,0.24,0.567,0.36
クランベリー,0.793,0.33,0.363
クランベリージュース,0.622,0.321,0.281
クレーン,0.396,0.417,0.589
頭蓋,0.354,0.51,0.583
頭蓋骨,0.439,0.491,0.725
クランク,0.448,0.275,0.417
気難しい,0.194,0.776,0.396
クラニー,0.194,0.471,0.25
くだらない,0.083,0.644,0.167
安っぽい,0.039,0.582,0.208
クラップス,0.375,0.42,0.273
クラッシュ,0.194,0.906,0.355
粗末な,0.223,0.49,0.466
クレート,0.427,0.173,0.274
クレーター,0.45,0.647,0.529
切望する,0.625,0.51,0.731
渇望,0.51,0.755,0.636
ザリガニ,0.51,0.427,0.342
クロール,0.479,0.519,0.467
クレヨン,0.604,0.26,0.185
クレヨン,0.684,0.366,0.405
熱狂する,0.255,0.657,0.435
狂った,0.153,0.877,0.417
狂気,0.238,0.908,0.255
クレイジー,0.156,0.843,0.321
きしむ,0.344,0.67,0.411
きしむ,0.302,0.743,0.415
クリーム,0.688,0.259,0.22
クリーム状,0.723,0.273,0.288
クリーマー,0.594,0.192,0.269
クリーミー,0.823,0.337,0.345
折り目,0.44,0.286,0.3
作成,0.786,0.588,0.789
作成,0.927,0.575,0.868
クリエイティブ,0.917,0.518,0.788
創造性,0.938,0.684,0.815
クリエイター,0.865,0.592,0.856
生き物,0.669,0.625,0.62
信用,0.76,0.46,0.737
資格証明,0.735,0.337,0.597
資格,0.708,0.373,0.675
信頼性,0.875,0.427,0.809
信頼できる,0.917,0.441,0.75
クレジット,0.673,0.549,0.648
クレジットカード,0.67,0.55,0.64
信用できる,0.802,0.51,0.742
クレジットされた,0.781,0.39,0.691
クレジット,0.673,0.55,0.741
債権者,0.479,0.594,0.689
信条,0.573,0.245,0.544
クリーク,0.552,0.392,0.33
忍び寄る,0.354,0.647,0.361
クリーパー,0.429,0.558,0.366
忍び寄る,0.292,0.613,0.282
気味の悪い,0.125,0.861,0.373
火葬,0.084,0.62,0.42
クレオール,0.667,0.357,0.523
クレープ,0.562,0.224,0.349
クレッシェンド,0.76,0.575,0.594
三日月形,0.698,0.382,0.407
クレスト,0.458,0.333,0.333
意気消沈した,0.235,0.346,0.175
クレチン,0.265,0.583,0.312
クレチン,0.094,0.741,0.328
隙間,0.361,0.471,0.275
クルー,0.604,0.598,0.735
乗組員,0.602,0.58,0.548
ベビーベッド,0.653,0.24,0.407
クリケット,0.423,0.539,0.37
泣いた,0.167,0.612,0.254
犯罪,0.071,0.943,0.63
犯罪的,0.021,0.83,0.529
犯罪性,0.122,0.863,0.58
圧着,0.26,0.557,0.396
真紅,0.667,0.385,0.37
うんざりする,0.245,0.84,0.377
不自由,0.094,0.392,0.161
不自由な,0.035,0.358,0.236
不自由な,0.156,0.598,0.391
危機,0.208,0.811,0.431
ぱりっとした,0.776,0.692,0.508
クリスピー,0.656,0.55,0.509
基準,0.396,0.41,0.736
評論家,0.264,0.604,0.686
致命的,0.312,0.802,0.545
批判,0.073,0.7,0.452
批判,0.115,0.563,0.505
批判,0.143,0.708,0.473
批判した,0.24,0.6,0.311
批評,0.302,0.76,0.537
生き物,0.542,0.539,0.482
鳴く,0.337,0.346,0.298
ワニ,0.327,0.452,0.451
壷,0.385,0.412,0.421
食器,0.552,0.216,0.327
クロコダイル,0.344,0.708,0.61
クロフト,0.531,0.429,0.421
クロワッサン,0.745,0.33,0.43
詐欺師,0.171,0.765,0.55
曲がった,0.146,0.594,0.305
作物,0.615,0.26,0.5
クロッケー,0.551,0.519,0.407
クロス,0.448,0.321,0.569
クロスカントリー,0.531,0.441,0.529
クロスボウ,0.344,0.598,0.56
交差した,0.431,0.49,0.508
クロスファイア,0.316,0.896,0.722
交差点,0.549,0.349,0.451
クロスオーバー,0.559,0.55,0.5
横断歩道,0.557,0.441,0.38
クロスワード,0.611,0.423,0.455
股,0.521,0.637,0.447
しゃがむ,0.281,0.606,0.312
しゃがんだ,0.333,0.363,0.279
しゃがむ,0.261,0.429,0.345
ディーラー,0.531,0.519,0.404
カラス,0.224,0.439,0.363
バール,0.406,0.531,0.386
群衆,0.35,0.827,0.731
混雑した,0.694,0.286,0.585
群衆,0.469,0.723,0.806
クラウン,0.708,0.572,0.737
クラウニング,0.773,0.594,0.831
重要,0.541,0.657,0.777
十字を切る,0.429,0.435,0.585
十字架,0.469,0.48,0.51
はりつけ,0.135,0.857,0.541
十字架につける,0.146,0.878,0.573
クラッド,0.312,0.33,0.444
原油,0.198,0.402,0.357
残酷,0.122,0.866,0.391
残酷に,0.146,0.79,0.471
残酷さ,0.092,0.836,0.536
クルーズ,0.74,0.442,0.683
クルーズ船,0.878,0.65,0.5
クルーザー,0.737,0.49,0.608
クルージング,0.886,0.58,0.56
クラム,0.417,0.255,0.216
崩れる,0.333,0.48,0.423
崩壊している,0.167,0.696,0.308
下品な,0.125,0.531,0.224
噛み砕く,0.292,0.63,0.406
カリカリ,0.625,0.56,0.539
聖戦,0.592,0.72,0.709
クルセイダー,0.439,0.588,0.548
打ち砕く,0.271,0.676,0.582
破砕されました,0.167,0.647,0.3
クラッシャー,0.271,0.709,0.598
破砕,0.219,0.755,0.411
地殻,0.542,0.337,0.456
無愛想な,0.625,0.531,0.473
松葉杖,0.302,0.294,0.302
核心,0.469,0.558,0.519
泣く,0.133,0.627,0.255
赤ちゃんを泣き,0.375,0.702,0.311
泣く,0.153,0.704,0.208
クリプト,0.156,0.431,0.386
不可解な,0.296,0.516,0.474
暗号化,0.49,0.415,0.65
結晶,0.618,0.27,0.508
結晶性,0.765,0.235,0.534
結晶,0.6,0.449,0.565
カブ,0.646,0.382,0.284
キュービー,0.354,0.385,0.36
立方体,0.469,0.226,0.274
キュービック,0.458,0.306,0.407
キュービクル,0.479,0.343,0.417
寝取られ,0.21,0.573,0.23
カッコウ,0.42,0.459,0.284
キュウリ,0.49,0.235,0.237
抱きしめる,0.885,0.559,0.475
抱きしめた,0.906,0.547,0.567
抱きしめる,0.847,0.382,0.5
抱きしめる,0.917,0.562,0.433
合図,0.521,0.433,0.484
袖口,0.469,0.453,0.387
料理,0.714,0.365,0.39
料理の,0.654,0.443,0.519
選別する,0.365,0.702,0.464
最高潮に達する,0.667,0.55,0.602
集大成,0.656,0.586,0.695
過失,0.112,0.745,0.368
有罪,0.14,0.7,0.319
犯人,0.062,0.676,0.333
カルト,0.448,0.535,0.648
耕す,0.708,0.41,0.598
栽培された,0.837,0.343,0.564
栽培,0.625,0.324,0.462
文化的な,0.802,0.39,0.623
文化,0.753,0.304,0.675
培養した,0.635,0.429,0.625
暗渠,0.337,0.324,0.343
面倒な,0.259,0.623,0.292
積雲,0.57,0.433,0.432
狡猾,0.604,0.685,0.683
女性器,0.135,0.673,0.377
カップ,0.615,0.167,0.231
食器棚,0.553,0.2,0.304
カップケーキ,0.656,0.333,0.344
カッピング,0.49,0.61,0.402
現在,0.44,0.519,0.46
治る,0.823,0.292,0.574
収集・整理する,0.726,0.418,0.526
治療薬,0.667,0.318,0.613
学芸員,0.688,0.389,0.688
縁石,0.472,0.371,0.402
カード,0.542,0.442,0.278
治す,0.719,0.377,0.623
門限,0.219,0.618,0.623
好奇心,0.75,0.755,0.463
奇妙な,0.635,0.6,0.483
カール,0.385,0.452,0.351
カーリング,0.583,0.592,0.4
通貨,0.583,0.418,0.592
現在,0.625,0.312,0.612
カリキュラム,0.708,0.306,0.62
カレー,0.633,0.345,0.302
呪い,0.033,0.72,0.375
呪われた,0.083,0.783,0.393
のろい,0.112,0.86,0.446
大ざっぱな,0.423,0.451,0.431
素っ気ない,0.245,0.61,0.452
削減,0.306,0.439,0.497
削減,0.23,0.578,0.431
カーテン,0.698,0.278,0.304
カーテン,0.615,0.123,0.342
おじいちゃん,0.635,0.412,0.598
曲率,0.417,0.367,0.447
曲線,0.48,0.375,0.307
曲がった,0.542,0.407,0.337
曲線的な,0.48,0.575,0.411
クッション,0.653,0.221,0.292
ふかふか,0.823,0.283,0.395
カスプ,0.667,0.71,0.7
くそ,0.354,0.538,0.443
罵倒した,0.156,0.625,0.454
カスタード,0.618,0.26,0.293
拘留,0.418,0.462,0.718
管理人,0.594,0.625,0.528
親権,0.494,0.472,0.675
習慣,0.552,0.382,0.688
慣習的な,0.7,0.253,0.561
お客様,0.562,0.43,0.673
カスタマイズされた,0.625,0.504,0.59
切る,0.49,0.49,0.393
皮膚の,0.365,0.37,0.328
可愛い,0.92,0.528,0.579
キューティクル,0.34,0.32,0.377
キューティー,0.638,0.528,0.464
カットラス,0.173,0.648,0.528
カトラリー,0.552,0.3,0.345
切り落とす,0.432,0.51,0.518
カッター,0.427,0.731,0.583
カッター,0.197,0.653,0.491
殺し屋,0.11,0.823,0.663
切断,0.448,0.375,0.536
まな板,0.337,0.54,0.342
挿し木,0.479,0.392,0.433
cwt,0.5,0.41,0.384
シアン化物,0.229,0.667,0.545
サイバースペース,0.677,0.594,0.611
サイクル,0.635,0.4,0.533
周期的な,0.38,0.45,0.554
サイクリスト,0.684,0.582,0.576
サイクロン,0.416,0.796,0.673
シリンダー,0.459,0.324,0.447
円筒形,0.458,0.294,0.414
シンバル,0.542,0.363,0.362
皮肉屋,0.135,0.632,0.473
シニカル,0.156,0.76,0.474
皮肉,0.104,0.78,0.454
嚢胞,0.173,0.578,0.312
嚢胞性,0.314,0.481,0.4
サイトメガロウィルス,0.186,0.657,0.443
細胞質,0.378,0.442,0.474
皇帝,0.48,0.348,0.643
たたく,0.51,0.337,0.34
手を出す,0.55,0.53,0.491
手を出す,0.562,0.726,0.676
お父さん,0.857,0.412,0.786
お父ちゃん,0.795,0.4,0.736
ダド,0.51,0.24,0.364
デーモン,0.333,0.49,0.5
ダフト,0.255,0.436,0.157
短剣,0.224,0.797,0.613
毎日,0.653,0.347,0.473
可憐な,0.604,0.284,0.424
ダイキリ,0.67,0.519,0.4
乳製品,0.633,0.255,0.462
デイジー,0.562,0.367,0.333
ダック,0.51,0.417,0.424
デール,0.622,0.27,0.365
ダム,0.25,0.553,0.394
ダメージ,0.059,0.726,0.403
損傷した,0.104,0.635,0.182
損害賠償,0.082,0.76,0.31
貴婦人,0.694,0.48,0.5
くそ,0.073,0.784,0.431
天罰,0.135,0.75,0.416
のろわれた,0.1,0.76,0.465
湿った,0.36,0.279,0.21
湿った,0.271,0.422,0.336
ダンパー,0.459,0.378,0.473
乙女,0.719,0.475,0.4
ダンス,0.894,0.84,0.551
踊り子,0.74,0.768,0.545
ダンシング,0.885,0.868,0.444
ふけ,0.398,0.298,0.293
ダンディ,0.673,0.52,0.63
危険,0.115,0.923,0.673
危険な,0.02,0.941,0.658
危険なほど,0.082,0.93,0.564
ダンギット,0.396,0.606,0.358
ぶら下がる,0.362,0.469,0.375
じめじめ,0.39,0.381,0.383
粋な,0.77,0.56,0.698
あえて,0.677,0.788,0.684
命知らず,0.429,0.714,0.653
おそらく,0.54,0.451,0.49
大胆,0.583,0.84,0.711
暗い,0.198,0.398,0.426
暗くする,0.25,0.471,0.382
暗くなった,0.135,0.44,0.452
暗く,0.219,0.548,0.443
暗闇,0.102,0.602,0.418
暗い部屋,0.188,0.627,0.423
暗黒面,0.102,0.69,0.365
ダーリン,0.885,0.37,0.608
くそー,0.115,0.765,0.418
ダーツ,0.417,0.608,0.5
ダッシュ,0.574,0.312,0.324
ダッシュボード,0.51,0.371,0.595
破線,0.276,0.393,0.338
威勢のいい,0.612,0.627,0.799
卑劣に,0.208,0.688,0.27
データ,0.5,0.25,0.426
データベース,0.604,0.286,0.644
日にち,0.604,0.231,0.4
デートの夜,0.708,0.637,0.518
娘,0.908,0.415,0.455
ぐるぐる,0.479,0.464,0.357
夜明け,0.827,0.235,0.519
明けた,0.694,0.471,0.473
日,0.719,0.269,0.389
夜明け,0.802,0.358,0.474
託児所,0.776,0.481,0.36
空想,0.75,0.337,0.456
空想,0.776,0.36,0.479
明け,0.865,0.42,0.545
日雇い,0.646,0.45,0.417
休みの日,0.76,0.368,0.377
昼間,0.75,0.324,0.454
ぼんやりする,0.245,0.735,0.329
ぼんやりした,0.3,0.697,0.277
眩惑する,0.73,0.782,0.683
眩しい,0.854,0.88,0.767
助祭,0.531,0.43,0.736
無効にする,0.235,0.447,0.392
死,0.052,0.454,0.194
デッドビート,0.229,0.453,0.368
締め切り,0.214,0.615,0.46
締め切り,0.406,0.769,0.411
デッドロック,0.17,0.418,0.323
致命的な,0.143,0.849,0.554
耳をつんざく,0.281,0.835,0.482
難聴,0.125,0.413,0.219
対処,0.719,0.599,0.543
ディーラー,0.799,0.615,0.683
ディーラー,0.541,0.43,0.629
取引,0.724,0.415,0.598
取引,0.6,0.491,0.48
ディーン,0.612,0.469,0.723
親愛なる,0.88,0.434,0.629
最愛の人,0.902,0.427,0.508
不足,0.156,0.539,0.255
死,0.031,0.72,0.472
臨終,0.051,0.652,0.311
致命的な,0.073,0.771,0.682
大失敗,0.156,0.606,0.266
堕落した,0.219,0.529,0.17
議論の余地のある,0.181,0.61,0.474
議論,0.408,0.691,0.683
放蕩,0.354,0.901,0.5
債券,0.417,0.5,0.466
衰弱させる,0.125,0.49,0.308
借方,0.333,0.4,0.474
報告,0.247,0.343,0.549
報告会,0.427,0.58,0.456
デブリ,0.135,0.396,0.327
借金,0.204,0.598,0.336
債務者,0.219,0.546,0.16
デビュー,0.806,0.606,0.629
デビュタント,0.771,0.627,0.454
十年,0.531,0.402,0.665
退廃,0.237,0.455,0.291
退廃的な,0.29,0.559,0.324
デカフェ,0.48,0.324,0.353
デカンター,0.438,0.567,0.51
十種競技,0.573,0.753,0.62
減衰,0.143,0.312,0.17
腐った,0.017,0.375,0.169
腐る,0.073,0.51,0.214
故人,0.021,0.538,0.188
故人,0.423,0.481,0.415
欺瞞,0.02,0.696,0.343
欺瞞的な,0.071,0.788,0.371
欺く,0.094,0.775,0.414
だまされた,0.059,0.673,0.302
欺く,0.099,0.636,0.426
12月,0.74,0.54,0.464
良識,0.75,0.235,0.634
ちゃんとした,0.823,0.296,0.653
欺くこと,0.09,0.745,0.37
欺瞞的な,0.027,0.605,0.294
決めます,0.656,0.54,0.855
断固として,0.75,0.48,0.843
落葉性の,0.385,0.353,0.282
小数,0.507,0.259,0.305
デシメートル,0.52,0.292,0.377
解読する,0.417,0.63,0.652
決断,0.646,0.51,0.839
決定的,0.74,0.509,0.935
デッキ,0.42,0.333,0.394
宣言,0.551,0.59,0.714
宣言的な,0.635,0.582,0.673
宣言する,0.677,0.623,0.668
赤緯,0.25,0.549,0.311
却下,0.173,0.491,0.24
衰退,0.328,0.4,0.264
デコ,0.625,0.274,0.356
デコード,0.551,0.51,0.64
デコーダ,0.562,0.34,0.686
分解する,0.194,0.596,0.241
分解した,0.073,0.442,0.231
分解,0.133,0.6,0.263
解凍する,0.438,0.43,0.509
減圧,0.208,0.52,0.311
除染,0.611,0.538,0.573
装飾,0.734,0.311,0.573
飾る,0.954,0.37,0.404
飾る,0.863,0.548,0.462
装飾,0.878,0.553,0.526
装飾的な,0.908,0.46,0.381
デコレータ,0.84,0.471,0.455
礼儀正しさ,0.802,0.327,0.462
デコイ,0.149,0.46,0.33
下降,0.125,0.36,0.267
減った,0.224,0.271,0.17
減少,0.32,0.346,0.224
布告,0.552,0.478,0.746
デクリメント,0.255,0.427,0.373
老朽化した,0.156,0.49,0.225
非難する,0.4,0.814,0.548
復号化,0.459,0.445,0.6
献身,0.823,0.431,0.588
献身,0.867,0.471,0.682
推測する,0.49,0.51,0.466
差し引く,0.355,0.33,0.412
控除可能,0.375,0.286,0.455
控除,0.438,0.462,0.527
証書,0.52,0.32,0.592
ディージェイ,0.551,0.63,0.473
考える,0.594,0.529,0.69
深い,0.49,0.473,0.657
深める,0.625,0.53,0.776
鹿,0.583,0.375,0.292
名誉毀損,0.11,0.67,0.481
中傷的な,0.143,0.688,0.402
デフォルト,0.459,0.343,0.712
敗北,0.092,0.5,0.224
敗北した,0.104,0.582,0.145
敗北者,0.163,0.567,0.315
欠陥,0.135,0.561,0.185
亡命,0.146,0.594,0.33
不良品,0.122,0.58,0.274
脱北者,0.163,0.696,0.286
守る,0.698,0.722,0.67
被告,0.25,0.71,0.491
防御した,0.663,0.451,0.582
擁護者,0.639,0.708,0.75
防御,0.604,0.871,0.812
防衛,0.652,0.698,0.802
無防備,0.143,0.357,0.105
防御可能な,0.74,0.509,0.593
防御的な,0.542,0.64,0.678
延期する,0.245,0.459,0.317
敬意,0.51,0.396,0.447
延期,0.765,0.542,0.327
延期,0.343,0.5,0.413
反抗,0.333,0.78,0.76
反抗的な,0.25,0.792,0.769
除細動器,0.398,0.663,0.431
欠乏,0.073,0.373,0.179
不足している,0.24,0.464,0.132
赤字,0.358,0.5,0.269
定義,0.688,0.415,0.632
定義済み,0.67,0.214,0.646
明確な,0.708,0.292,0.741
意味,0.573,0.375,0.579
決定的,0.583,0.479,0.787
空気を抜く,0.148,0.404,0.237
デフレ,0.287,0.536,0.407
そらす,0.133,0.491,0.482
偏向,0.188,0.5,0.382
花をもぎ取ること,0.188,0.69,0.434
変形する,0.112,0.654,0.284
変形した,0.198,0.435,0.308
変形,0.16,0.569,0.241
だまし取る,0.175,0.635,0.314
負担する,0.375,0.598,0.653
解凍する,0.427,0.317,0.389
器用,0.719,0.575,0.849
亡き,0.112,0.491,0.272
解消する,0.167,0.48,0.43
挑む,0.353,0.884,0.657
縮退,0.143,0.72,0.298
退化する,0.069,0.724,0.264
変性,0.245,0.578,0.371
劣化,0.16,0.608,0.315
劣化する,0.083,0.5,0.184
劣化した,0.167,0.433,0.205
劣化している,0.031,0.583,0.232
程度,0.724,0.365,0.663
脱水した,0.31,0.685,0.212
脱水,0.188,0.472,0.259
意気消沈した,0.104,0.654,0.347
遅れ,0.204,0.51,0.162
遅延,0.188,0.49,0.216
おいしい,0.781,0.642,0.718
デリゲート,0.612,0.491,0.658
委任,0.562,0.431,0.609
消去,0.292,0.298,0.409
有害な,0.297,0.725,0.44
消す,0.062,0.506,0.462
デリ,0.561,0.448,0.447
意図的に,0.551,0.654,0.682
審議,0.561,0.678,0.596
審議的な,0.392,0.552,0.573
珍味,0.812,0.279,0.336
繊細,0.583,0.294,0.366
デリカテッセン,0.656,0.474,0.4
おいしい,0.927,0.65,0.589
喜び,0.949,0.666,0.647
喜んで,0.938,0.664,0.685
楽しい,0.918,0.735,0.644
描写する,0.448,0.43,0.445
描写,0.521,0.402,0.314
非行,0.135,0.86,0.508
滞納者,0.051,0.904,0.5
せん妄,0.219,0.774,0.538
せん妄,0.233,0.694,0.484
配達,0.583,0.37,0.582
救出,0.75,0.52,0.658
配達,0.704,0.461,0.786
デル,0.458,0.38,0.453
デルタ,0.551,0.343,0.509
妄想する,0.143,0.627,0.353
大洪水,0.245,0.714,0.612
妄想,0.344,0.647,0.4
妄想的な,0.219,0.745,0.327
デラックス,0.792,0.612,0.755
掘り下げる,0.469,0.529,0.684
要求する,0.292,0.673,0.5
厳しい,0.396,0.75,0.828
侮辱した,0.271,0.52,0.212
侮辱的な,0.104,0.645,0.308
物腰,0.633,0.433,0.657
痴呆,0.088,0.787,0.309
認知症,0.092,0.779,0.337
終焉,0.104,0.596,0.456
デモ,0.51,0.314,0.423
民主主義,0.68,0.5,0.84
民主党,0.582,0.4,0.755
民主的な,0.802,0.519,0.798
人口統計,0.459,0.356,0.594
取り壊す,0.125,0.632,0.7
取り壊された,0.271,0.647,0.353
取り壊し,0.133,0.827,0.541
悪魔,0.037,0.908,0.509
悪魔的な,0.146,0.875,0.6
実証可能な,0.735,0.471,0.749
示す,0.771,0.552,0.839
実証済み,0.617,0.5,0.649
デモンストレーション,0.698,0.571,0.693
デモンストレーション,0.551,0.676,0.679
実証的な,0.656,0.528,0.736
デモンストレーター,0.52,0.598,0.733
意気消沈,0.082,0.59,0.149
デモ,0.418,0.37,0.368
おとなしい,0.69,0.315,0.417
デン,0.51,0.347,0.398
否認可能性,0.23,0.509,0.417
拒否,0.194,0.435,0.318
拒否された,0.188,0.604,0.333
デニム,0.52,0.382,0.327
宗派,0.49,0.363,0.429
宗派的な,0.458,0.375,0.679
分母,0.45,0.41,0.613
示す,0.448,0.471,0.534
非難する,0.083,0.78,0.426
密集,0.354,0.343,0.536
密度,0.602,0.471,0.561
凹み,0.306,0.606,0.325
歯科,0.573,0.404,0.463
歯医者,0.479,0.62,0.642
歯科,0.429,0.57,0.569
歯科医,0.364,0.6,0.582
非難,0.146,0.83,0.561
拒否,0.316,0.667,0.321
否定する,0.08,0.542,0.272
デオドラント,0.48,0.265,0.269
出発する,0.398,0.48,0.444
出発した,0.245,0.536,0.391
デパートメント,0.708,0.358,0.642
部門別,0.612,0.422,0.446
出発,0.573,0.5,0.426
それによる,0.388,0.429,0.358
頼れる,0.88,0.357,0.741
依存,0.357,0.404,0.451
依存,0.25,0.451,0.433
依存,0.429,0.365,0.356
依存,0.354,0.455,0.404
描く,0.663,0.529,0.723
描写する,0.49,0.566,0.602
枯渇,0.153,0.37,0.236
嘆かわしい,0.135,0.657,0.23
嘆く,0.135,0.575,0.373
配備,0.5,0.52,0.585
展開,0.51,0.52,0.612
国外追放,0.167,0.667,0.546
国外追放,0.104,0.786,0.45
処分する,0.286,0.42,0.451
デポジット,0.54,0.379,0.483
預託機関,0.604,0.431,0.5
沈着,0.394,0.51,0.471
寄託,0.551,0.373,0.481
デポ,0.635,0.255,0.471
堕落した,0.031,0.837,0.395
堕落,0.115,0.854,0.453
減価償却する,0.27,0.623,0.445
減価償却した,0.135,0.672,0.25
減価償却費,0.143,0.571,0.386
押し下げる,0.219,0.635,0.528
うつ病,0.024,0.445,0.136
憂鬱な,0.146,0.559,0.216
うつ,0.031,0.52,0.232
憂鬱な,0.143,0.434,0.202
うつ病,0.135,0.4,0.308
剥奪,0.194,0.61,0.413
奪う,0.271,0.591,0.34
奪われた,0.354,0.506,0.536
深さ,0.708,0.561,0.759
副,0.429,0.53,0.787
脱線,0.108,0.802,0.375
狂った,0.376,0.868,0.357
遺棄された,0.208,0.47,0.237
嘲笑,0.265,0.67,0.292
導出,0.521,0.519,0.644
導関数,0.541,0.491,0.508
派生する,0.396,0.324,0.36
真皮,0.385,0.406,0.443
皮膚科医,0.531,0.358,0.528
皮膚科,0.422,0.5,0.556
特例,0.208,0.46,0.327
軽蔑的な,0.122,0.58,0.404
降りる,0.385,0.535,0.231
子孫,0.684,0.42,0.625
子孫,0.391,0.48,0.565
降順,0.219,0.493,0.25
降下,0.3,0.402,0.158
説明,0.542,0.472,0.555
説明,0.582,0.425,0.596
説明的な,0.667,0.352,0.57
冒涜する,0.255,0.806,0.509
冒涜,0.125,0.833,0.564
